UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	1	1	auditory|speech	#FECB68	0.334957448985057
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	2	1		#FECB68	0.330518075889669
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	3	1	da|integration	#FDAD4A	0.443778410811533
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	4	1		#FDAD4A	0.477408842975941
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	5	1	physical|psychophysical|tactile	#FDAD4A	0.476162177999264
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	6	1		#FECB68	0.379016611019799
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	7	1	somatosensory|stimulation	#FECB68	0.341647708175043
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	8	1	painful|pain	#FFF1A9	0.109103435661619
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	9	1		#FFF1A9	0.147719920754245
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	10	1	ratings	#FFF1A9	0.187073003166387
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	11	1	affective|affect	#FFF1A9	0.195594921123832
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	12	1	emotions	#FEE188	0.244339572709776
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	13	1	expression|expressions|facial	#FFF1A9	0.189162953278541
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	14	1		#FEE188	0.289117895024208
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	15	1		#FEE188	0.287146162521158
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	16	1	emotion|motion|neutral	#FEE188	0.258196229831714
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	17	1	rating	#FEE188	0.222482633744115
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	18	1	negative|positive	#FEE188	0.296205188442913
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	19	1		#FDAD4A	0.478247633796288
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	20	1	ear|order	#FDAD4A	0.481212044558251
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	21	1	motor	#FD913D	0.59292494310136
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	22	1	visual	#FC622F	0.607342719329016
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	23	1	age|image|response	#FD913D	0.502185481401112
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	1	2	sound|sounds	#FEE188	0.254884981872226
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	2	2		#FECB68	0.321040678968089
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.284667567835119
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	4	2		#FDAD4A	0.48722580011739
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	5	2		#FDAD4A	0.497273069076919
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	6	2		#FDAD4A	0.412264459010464
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	7	2	sensation	#FFF1A9	0.121301691042577
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	8	2	heat|noxious	#FFF1A9	0.10553972015534
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	9	2		#FFF1A9	0.150885691016121
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	10	2		#FFF1A9	0.199306029892174
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	11	2		#FEE188	0.222933893315215
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	12	2	valence	#FFF1A9	0.175401067141453
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	13	2	person|social	#FECB68	0.390025943284859
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	14	2		#FEE188	0.296014480742744
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	15	2	face|faces	#FECB68	0.34756372445995
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	16	2		#FECB68	0.330718726040428
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	17	2		#FECB68	0.340925699267885
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	18	2		#FDAD4A	0.44133226081647
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	19	2		#FD913D	0.52414262993743
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	20	2		#FC622F	0.607957889818541
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	21	2	images|spatial	#FC622F	0.605202085542442
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	22	2	control	#FD913D	0.543951960932469
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	23	2	time	#FD913D	0.5274796248221
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.253159398987716
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	2	3	noise|tones	#FEE188	0.297578710550251
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	3	3		#FECB68	0.399791651661888
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	4	3		#FDAD4A	0.48307718312396
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	5	3	frequency	#FD913D	0.510321317128426
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	6	3		#FDAD4A	0.459637359643893
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	7	3		#FFF1A9	0.193022812514768
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	8	3	temperature	#FFFFCC	0.074446659944352
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	9	3		#FFF1A9	0.166312561272569
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	10	3	pleasant|unpleasant	#FFF1A9	0.196041979022093
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	11	3	anxiety	#FFF1A9	0.1412713565066
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	12	3		#FEE188	0.263115797449
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	13	3		#FECB68	0.317113799577089
a8ee2b41-0b29-3657-ae31-8fe7d4dd9d55	Dassonville P	14	3		#FECB68	0.300242515538994
