UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	1	1	auditory|speech	#FEE188	0.242756194344823
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	2	1		#FEE188	0.203062075872112
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	3	1	da|integration	#FDAD4A	0.432581788836693
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	4	1		#FD913D	0.506903416808586
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	5	1	physical|psychophysical|tactile	#FD913D	0.520688304908484
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	6	1		#FD913D	0.598579214191819
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	7	1	somatosensory|stimulation	#FD913D	0.512609235299358
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	8	1	painful|pain	#FDAD4A	0.47706878491514
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	9	1		#FD913D	0.537648404717913
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	10	1	ratings	#FD913D	0.548370979351992
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	11	1	affective|affect	#FDAD4A	0.460232729737705
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	12	1	emotions	#FDAD4A	0.402505654605254
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	13	1	expression|expressions|facial	#FEE188	0.268957269801076
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	14	1		#FDAD4A	0.456183754297315
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	15	1		#FD913D	0.515527716310758
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	16	1	emotion|motion|neutral	#FD913D	0.511980000343984
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	17	1	rating	#FD913D	0.568753429305386
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	18	1	negative|positive	#FC622F	0.6475522515252
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	19	1		#F03623	0.788680790386132
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	20	1	ear|order	#F03623	0.77638604509667
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	21	1	motor	#F03623	0.735634078078289
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	22	1	visual	#FC622F	0.682513045313221
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	23	1	age|image|response	#F03623	0.739629939577706
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	1	2	sound|sounds	#FFFFCC	0.065500954847921
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	2	2		#FFF1A9	0.174275923326624
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.104840740658148
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	4	2		#FD913D	0.518268359448981
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	5	2		#FD913D	0.596122633539055
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	6	2		#FC622F	0.626199764648859
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	7	2	sensation	#FDAD4A	0.461347810284462
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	8	2	heat|noxious	#FDAD4A	0.424589892629677
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	9	2		#FD913D	0.5530491126019
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	10	2		#FD913D	0.576047471433913
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	11	2		#FD913D	0.553705290120168
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	12	2	valence	#FDAD4A	0.444924889071918
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	13	2	person|social	#FDAD4A	0.41080973807879
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	14	2		#FDAD4A	0.478160969301142
5a948518-4047-36bc-bd0d-982b50962a3c	Schumacher EH	15	2	face|faces	#FDAD4A	0.433413059763486
