UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	1	auditory|speech	#FECB68	0.312847499336227
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	1		#FEE188	0.270728097249121
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	1	da|integration	#FECB68	0.365254176771126
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	1		#FDAD4A	0.469001119092749
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	1	physical|psychophysical|tactile	#FDAD4A	0.498436918114353
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	1		#FD913D	0.551330063267817
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	1	somatosensory|stimulation	#FC622F	0.647246389791274
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	1	painful|pain	#FECB68	0.310815120558702
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	1		#FECB68	0.338490746190725
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	1	ratings	#FEE188	0.292046947196754
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	1	affective|affect	#FEE188	0.249799997284131
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	1	emotions	#FFF1A9	0.197722854700242
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	1	expression|expressions|facial	#FFF1A9	0.127889016975683
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	1		#FFF1A9	0.184944500115518
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	1		#FEE188	0.216028093890261
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	1	emotion|motion|neutral	#FEE188	0.244688072355325
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	1	rating	#FECB68	0.31147923319085
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	1	negative|positive	#FECB68	0.358190453905244
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	1		#FDAD4A	0.456832707508799
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	1	ear|order	#FDAD4A	0.416772145374576
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	1	motor	#F03623	0.721671724159355
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	1	visual	#FDAD4A	0.422116646972485
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	1	age|image|response	#FDAD4A	0.432710767978071
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	2	sound|sounds	#FFF1A9	0.18059748910087
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	2		#FEE188	0.24436320957485
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.203847398316176
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	2		#FDAD4A	0.486064519927142
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	2		#FD913D	0.576903625412398
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	2		#FD913D	0.580650819811062
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	2	sensation	#FECB68	0.339957608033494
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	2	heat|noxious	#FEE188	0.274622782229063
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	2		#FECB68	0.341207397583534
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	2		#FEE188	0.295600473277617
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	2		#FEE188	0.273654476300874
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	2	valence	#FFF1A9	0.169148968037799
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	2	person|social	#FFF1A9	0.186362234430144
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	2		#FFF1A9	0.192721771475673
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	2	face|faces	#FFF1A9	0.159112859995431
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	2		#FEE188	0.276410362111198
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	2		#FECB68	0.335699494755252
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	2		#FDAD4A	0.40239860329684
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	2		#FDAD4A	0.462263264650655
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	2		#FD913D	0.514505482259615
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	2	images|spatial	#FDAD4A	0.469566309538698
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	2	control	#FDAD4A	0.455207628894865
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	2	time	#FDAD4A	0.463152563781411
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.148578745140168
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	3	noise|tones	#FFF1A9	0.161221987345608
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	3		#FECB68	0.355975270907955
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	3		#FDAD4A	0.489041806880045
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	3	frequency	#FC622F	0.618981100098554
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	3		#FD913D	0.595175489632497
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	3		#FDAD4A	0.417382734579671
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	3	temperature	#FECB68	0.341053468908134
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	3		#FECB68	0.374643893912027
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	3	pleasant|unpleasant	#FECB68	0.325027507442739
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	3	anxiety	#FEE188	0.218768056062506
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	3		#FEE188	0.260503230497585
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	3		#FEE188	0.269303538565215
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	3		#FEE188	0.245065774024545
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	3		#FEE188	0.255449925418572
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	3	picture	#FEE188	0.263502679037517
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	3		#FECB68	0.353783775235163
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	3	value	#FDAD4A	0.469251303191164
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	3	cue	#FDAD4A	0.417295016362698
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	3	error|target	#FD913D	0.503755110612414
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	3	attention	#FDAD4A	0.424347670596475
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	3		#FECB68	0.391428534246682
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	3	number	#FECB68	0.380912882218097
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	4	voice	#FFF1A9	0.144926373570236
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	4		#FFF1A9	0.199005759093568
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	4	hearing	#FFF1A9	0.147306338642168
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	4		#FDAD4A	0.48088098053104
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	4	overt	#FD913D	0.506348836877377
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	4		#FD913D	0.582165351774189
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	4		#FDAD4A	0.484403139021364
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.304396688674961
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	4	unpleasantness	#FECB68	0.395196877193521
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	4	skin|subjective	#FECB68	0.314557462730372
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	4	depression	#FECB68	0.335569427771524
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	4	experience	#FEE188	0.252303357584345
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	4	female	#FEE188	0.273572957282783
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	4	male	#FECB68	0.310043907439424
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	4	pictures	#FEE188	0.212857284953209
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	4		#FECB68	0.309807346906188
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	4	perception	#FECB68	0.366263752059847
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	4		#FDAD4A	0.408053929976754
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	4		#FDAD4A	0.415364799489416
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	4		#FDAD4A	0.404796427043177
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	4	correct	#FECB68	0.315111912760401
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	4	work	#FECB68	0.340918970332871
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	4	memory	#FEE188	0.272505327332197
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	5	prosodic|prosody	#FFFFCC	0.0866817145636044
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	5	phonetic	#FFF1A9	0.135085336947539
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	5	syllable|syllables	#FECB68	0.319052055741836
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	5		#FDAD4A	0.444648860976192
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	5	lip|production	#FD913D	0.566917696087882
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	5	somatotopic	#FD913D	0.529738769730037
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	5		#FD913D	0.524355895128848
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	5		#FDAD4A	0.428068178800842
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	5	empathy	#FECB68	0.393117651089321
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	5		#FECB68	0.351974189589106
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	5	disorder	#FEE188	0.25913503223685
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	5		#FECB68	0.303183911399448
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	5		#FECB68	0.303321296223786
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	5		#FEE188	0.271230017361428
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	5		#FEE188	0.268294293802283
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	5		#FEE188	0.299392748092859
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	5		#FECB68	0.324115949171516
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	5	mental	#FECB68	0.340649994734305
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	5	go	#FECB68	0.350377179710088
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	5	object	#FEE188	0.295372374339211
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	5		#FECB68	0.321104656295292
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	5		#FEE188	0.267163362768997
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	5	word|words	#FFF1A9	0.167537538141553
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	6		#FEE188	0.252454725108951
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	6		#FEE188	0.268482806982199
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	6		#FECB68	0.340473541970298
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	6	vocal	#FECB68	0.354268732431049
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	6	articulatory	#FEE188	0.291526870231901
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	6		#FD913D	0.507263192096951
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	6	oddball	#FDAD4A	0.43857792291037
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	6	perceived	#FECB68	0.395556745877369
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	6	errorrelated	#FEE188	0.274402880485765
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	6	approach	#FECB68	0.348685561939894
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	6	schizophrenia	#FEE188	0.237066145333206
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	6	acquisition	#FECB68	0.363259277745838
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	6		#FEE188	0.256801111015697
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	6		#FFF1A9	0.187734034429219
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	6		#FFF1A9	0.193253656030156
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	6		#FEE188	0.216328278583159
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	6		#FEE188	0.255046233678708
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	6		#FEE188	0.283563575452868
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	6		#FEE188	0.29422320655203
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	6	objects	#FEE188	0.289091730367124
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	6		#FEE188	0.274371604611628
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	6		#FEE188	0.224740727405525
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	6	language|semantic	#FFF1A9	0.185243269511818
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	7	dopamine|dopaminergic	#FECB68	0.334727044836317
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	7		#FEE188	0.237858204656367
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	7		#FEE188	0.268132730192057
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	7		#FECB68	0.324918654013843
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	7		#FECB68	0.346518142056566
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	7		#FDAD4A	0.402749949640672
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	7		#FECB68	0.395421119313836
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	7		#FECB68	0.316489851661032
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	7		#FECB68	0.334244799750497
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	7		#FEE188	0.245722837789805
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	7		#FEE188	0.240980905421136
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	7		#FEE188	0.213612418622396
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	7	linguistic|spoken	#FFF1A9	0.123791468040545
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	7		#FFF1A9	0.165023199671421
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	7	comprehension|sentence|sentences|syntactic	#FFF1A9	0.14846601162283
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	7		#FFF1A9	0.169335920840024
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	7		#FEE188	0.210435443727308
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	7	phonological|reading|read	#FEE188	0.206274925990792
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	7		#FEE188	0.26011809670865
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	7	perceptual|recognition	#FEE188	0.260714705243688
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	7		#FEE188	0.262960878271989
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	7		#FEE188	0.228668822619176
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	7	verb	#FEE188	0.231413295668332
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	8	outcome|reward	#FFF1A9	0.187975660449003
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	8	anticipation	#FEE188	0.204578776656488
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	8	outcomes	#FFF1A9	0.120432490966528
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	8	choice|choices	#FFF1A9	0.161590315624885
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	8	decisions|probability	#FEE188	0.270627976306538
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	8	reversal	#FECB68	0.329578786777248
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	8	classification|incorrect	#FEE188	0.233430466760816
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	8		#FEE188	0.256279947300636
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	8	agerelated|fluency|probes	#FFF1A9	0.166547905521605
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	8	engaged	#FFF1A9	0.173772158589958
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	8	explicit|knowledge	#FFFFCC	0.0810684759519208
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	8		#FFF1A9	0.144788205687204
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	8		#FFF1A9	0.145286976612642
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	8		#FFF1A9	0.145719088902371
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	8		#FFF1A9	0.151303974946419
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	8		#FFF1A9	0.158779715769098
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	8	lexical	#FFF1A9	0.138601969532904
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	8		#FEE188	0.206042801181222
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	8		#FEE188	0.235491145778842
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	8		#FEE188	0.244528251331676
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	8	encoding	#FEE188	0.219868338324447
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	8	retrieval	#FFF1A9	0.199131212130178
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	8	verbal	#FEE188	0.245974998280717
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	9	incentive|monetary|money|rewards	#FFF1A9	0.100598701231777
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	9	loss	#FFF1A9	0.193591781929857
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	9		#FFF1A9	0.193874206385707
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	9		#FEE188	0.216138758910852
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	9	decisionmaking	#FFF1A9	0.105587727217062
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	9		#FEE188	0.260088672642933
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	9		#FEE188	0.235201220258354
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	9		#FEE188	0.225116778114905
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	9		#FFF1A9	0.177969098037934
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	9		#FFF1A9	0.146301572403158
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	9		#FFF1A9	0.133784276557065
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	9		#FFF1A9	0.125464527501441
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	9	noun	#FFFFCC	0.0402071929354877
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	9	meaning	#FFF1A9	0.13327802598323
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	9	english	#FFF1A9	0.132389710544597
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	9	pseudoword|pseudowords	#FFF1A9	0.155316247206719
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	9		#FFF1A9	0.171110477361788
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	9		#FEE188	0.208622513601172
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	9	familiar|judgment	#FEE188	0.211771966575441
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	9	pair|pairs	#FEE188	0.205915173036531
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	9		#FECB68	0.306765408780844
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	9		#FECB68	0.3196885315618
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	9	letter|working	#FECB68	0.304992335731964
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	10	losses|reinforcement|win	#FFF1A9	0.140092101083299
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	10	gain	#FFF1A9	0.147353428569033
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	10	expectation	#FEE188	0.281792706178302
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	10	risk	#FFF1A9	0.134983532508706
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	10	fact	#FEE188	0.20995961032261
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	10	associative	#FEE188	0.225187345873658
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	10	familiarity|judgments|old	#FFF1A9	0.179098942767535
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	10	contextual|text	#FFF1A9	0.13407448816875
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	10	recall|retrieved	#FFFFCC	0.0830140185265074
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	10	conceptual|semantically	#FFFFCC	0.0694739356303608
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	10	grammatical|speakers	#FFF1A9	0.161909638224338
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	10	nouns	#FFF1A9	0.107373373177415
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	10	japanese	#FFFFCC	0.0522539671990768
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	10	languages	#FFF1A9	0.105295334407803
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	10	written	#FFF1A9	0.10242825113553
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	10	chinese|phonology	#FFFFCC	0.0958657253773235
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	10	orthographic	#FFF1A9	0.135425649009292
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	10		#FEE188	0.233091020880268
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	10		#FEE188	0.25701424039642
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	10	association|decision	#FEE188	0.237815851740537
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	10	selection	#FECB68	0.399428766458945
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	10	letters	#FEE188	0.285166222423796
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	10	demand|load	#FECB68	0.360223361744839
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	11	conditioned|conditioning	#FFF1A9	0.133368763020016
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	2	11		#FEE188	0.253223988263506
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	3	11	drug|placebo	#FECB68	0.337755301895729
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	4	11		#FEE188	0.283673964613653
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	5	11	associations	#FFF1A9	0.180439255478451
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	6	11		#FFF1A9	0.188271470995064
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	7	11	episodic|recollection	#FFF1A9	0.128382077555497
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	8	11		#FFF1A9	0.174539269875922
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	9	11		#FFF1A9	0.183211886613336
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	10	11	concepts	#FFFFCC	0.0275382013830058
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	11	11		#FEE188	0.199581084968443
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	12	11		#FEE188	0.223175486814417
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	13	11	german	#FECB68	0.307964801761373
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	14	11	readers	#FEE188	0.224242385780629
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	15	11	character|name|naming	#FFF1A9	0.132154350883761
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	16	11		#FFF1A9	0.182370040210462
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	17	11	novel	#FEE188	0.228999273959612
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	18	11		#FEE188	0.261024524904775
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	19	11	child|children	#FEE188	0.229574851913442
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	20	11	adults	#FECB68	0.358688673147993
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	21	11	ability|feedback|learning	#FD913D	0.596246051998764
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	22	11	cues|delay	#FECB68	0.382643913574635
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	23	11	attentional|difficulty|targets	#FDAD4A	0.407900514396661
6575bc58-a6cb-3d4e-a252-855107608a94	Horovitz SG	1	12	aversive|shock	#FEE188	0.220186396370464
