UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	1	1	auditory|speech	#FFF1A9	0.148620875628838
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	2	1		#FFF1A9	0.148900198981013
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	3	1	da|integration	#FFF1A9	0.157770930246405
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	4	1		#FEE188	0.235983427536444
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	5	1	physical|psychophysical|tactile	#FEE188	0.291308887933251
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	6	1		#FDAD4A	0.404952568228283
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	7	1	somatosensory|stimulation	#FDAD4A	0.412125327105985
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	8	1	painful|pain	#FDAD4A	0.468918625017635
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	9	1		#FD913D	0.54457135970566
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	10	1	ratings	#FC622F	0.603338156244126
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	11	1	affective|affect	#FDAD4A	0.498858845597036
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	12	1	emotions	#FDAD4A	0.423346055036948
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	13	1	expression|expressions|facial	#FECB68	0.355523350332078
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	14	1		#FDAD4A	0.447492996268369
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	15	1		#FDAD4A	0.460195220360316
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	16	1	emotion|motion|neutral	#FDAD4A	0.461374119964521
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	17	1	rating	#FD913D	0.585473789005837
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	18	1	negative|positive	#FD913D	0.525968511799393
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	19	1		#FECB68	0.396210372055455
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	20	1	ear|order	#FEE188	0.273172134614909
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	21	1	motor	#FFF1A9	0.169659011515893
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	22	1	visual	#FFF1A9	0.122193790593569
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	23	1	age|image|response	#FEE188	0.272442553638697
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	1	2	sound|sounds	#FFF1A9	0.155580170385596
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	2	2		#FFF1A9	0.149271707233537
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0.0742669432167634
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	4	2		#FEE188	0.225524319332567
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	5	2		#FEE188	0.294468077955034
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	6	2		#FECB68	0.392586709703008
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	7	2	sensation	#FDAD4A	0.483555632462768
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	8	2	heat|noxious	#FDAD4A	0.461086381963745
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	9	2		#FD913D	0.543498023033883
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	10	2		#FD913D	0.577614551258223
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	11	2		#FD913D	0.571310385915021
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	12	2	valence	#FD913D	0.523385985552759
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	13	2	person|social	#FD913D	0.524693790785976
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	14	2		#FDAD4A	0.440534059932536
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	15	2	face|faces	#FECB68	0.338554751249794
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	16	2		#FDAD4A	0.470593217335344
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	17	2		#FDAD4A	0.493692086990144
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	18	2		#FDAD4A	0.443667068074055
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	19	2		#FECB68	0.364846559842783
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	20	2		#FEE188	0.265968523057177
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	21	2	images|spatial	#FEE188	0.257212014620499
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	22	2	control	#FEE188	0.224191293379591
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	23	2	time	#FEE188	0.259071517267658
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.154520527791633
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	2	3	noise|tones	#FFF1A9	0.136145809982289
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	3	3		#FFF1A9	0.172530693659059
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	4	3		#FFF1A9	0.19212338969149
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	5	3	frequency	#FEE188	0.221788154019585
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	6	3		#FECB68	0.354886464099418
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	7	3		#FDAD4A	0.455865780859306
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	8	3	temperature	#FDAD4A	0.432064344756417
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	9	3		#FD913D	0.504348811545531
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	10	3	pleasant|unpleasant	#FD913D	0.5207230520976
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	11	3	anxiety	#FDAD4A	0.494615936647919
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	12	3		#FD913D	0.509953609067634
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	13	3		#FDAD4A	0.465900164273656
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	14	3		#FDAD4A	0.437378224968388
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	15	3		#FDAD4A	0.420437224124839
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	16	3	picture	#FECB68	0.355480581270925
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	17	3		#FDAD4A	0.439109093626376
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	18	3	value	#FECB68	0.367936084670584
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	19	3	cue	#FEE188	0.238758306515969
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	20	3	error|target	#FEE188	0.214366284890392
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	21	3	attention	#FEE188	0.221704155960076
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	22	3		#FEE188	0.219982579781316
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	23	3	number	#FEE188	0.223747722866829
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	1	4	voice	#FFFFCC	0.0926952389713878
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	2	4		#FFF1A9	0.149498921231516
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	3	4	hearing	#FFFFCC	0.0689583902250829
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	4	4		#FFF1A9	0.184764218265673
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	5	4	overt	#FFF1A9	0.178810109286339
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	6	4		#FEE188	0.265563236479904
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	7	4		#FDAD4A	0.432253635886895
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	8	4	nociceptive|nonpainful|painrelated	#FECB68	0.372465916911623
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	9	4	unpleasantness	#FDAD4A	0.488578510125382
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	10	4	skin|subjective	#FDAD4A	0.461784486443448
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	11	4	depression	#FDAD4A	0.491392713762572
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	12	4	experience	#FDAD4A	0.468089196469927
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	13	4	female	#FECB68	0.347273349979594
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	14	4	male	#FDAD4A	0.400751793485599
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	15	4	pictures	#FECB68	0.326860966760525
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	16	4		#FECB68	0.356732772874909
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	17	4	perception	#FEE188	0.277721142308068
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	18	4		#FEE188	0.269533120708986
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	19	4		#FEE188	0.244949786402502
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	20	4		#FEE188	0.217680741921785
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	21	4	correct	#FEE188	0.208687381909309
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	22	4	work	#FFF1A9	0.192786307778452
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	23	4	memory	#FEE188	0.252818267209464
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	1	5	prosodic|prosody	#FFF1A9	0.171830190124372
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	2	5	phonetic	#FFF1A9	0.12532088296718
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	3	5	syllable|syllables	#FFF1A9	0.103849105178577
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	4	5		#FFF1A9	0.181587827043824
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	5	5	lip|production	#FFF1A9	0.151296130510018
1430e577-df03-394e-9cbc-bd3a8e8ee514	Menchon JM	6	5	somatotopic	#FECB68	0.324057243129812
