UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	1	1	auditory|speech	#FECB68	0.339434771364215
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	2	1		#FECB68	0.350701643606563
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	3	1	da|integration	#FD913D	0.551617461767519
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	4	1		#FD913D	0.521729476827715
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	5	1	physical|psychophysical|tactile	#FDAD4A	0.44959539679062
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	6	1		#FDAD4A	0.439205984242566
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	7	1	somatosensory|stimulation	#FECB68	0.302265128364532
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	8	1	painful|pain	#FEE188	0.295507168194742
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	9	1		#FECB68	0.352582712953154
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	10	1	ratings	#FDAD4A	0.406073257085232
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	11	1	affective|affect	#FD913D	0.516791098198626
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	12	1	emotions	#FECB68	0.35154169626269
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	13	1	expression|expressions|facial	#FEE188	0.243755315845643
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	14	1		#FDAD4A	0.41754003056305
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	15	1		#FDAD4A	0.451325906320099
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	16	1	emotion|motion|neutral	#FDAD4A	0.426862008157586
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	17	1	rating	#FD913D	0.509868234397556
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	18	1	negative|positive	#FC622F	0.645535408116281
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	19	1		#F03623	0.721271539436075
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	20	1	ear|order	#F03623	0.749145680094299
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	21	1	motor	#FDAD4A	0.497338602316308
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	22	1	visual	#FD913D	0.548990831200807
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	23	1	age|image|response	#FC622F	0.669686743538534
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	1	2	sound|sounds	#FEE188	0.27988089788843
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	2	2		#FECB68	0.330922714851904
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.226655424919063
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	4	2		#FD913D	0.523784639890054
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	5	2		#FD913D	0.520235743688944
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	6	2		#FDAD4A	0.466456103864308
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	7	2	sensation	#FEE188	0.28665545533289
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	8	2	heat|noxious	#FEE188	0.208361768033812
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	9	2		#FECB68	0.379711263108383
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	10	2		#FDAD4A	0.471905545859061
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	11	2		#FDAD4A	0.474942866925155
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	12	2	valence	#FDAD4A	0.471903713484195
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	13	2	person|social	#FECB68	0.396683246716012
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	14	2		#FDAD4A	0.435032295685226
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	15	2	face|faces	#FECB68	0.391103866212936
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	16	2		#FD913D	0.527397081050853
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	17	2		#FC622F	0.608618259078165
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	18	2		#F03623	0.712000647822131
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	19	2		#F03623	0.75621658757748
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	20	2		#F03623	0.712498302656335
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	21	2	images|spatial	#FC622F	0.656766656845641
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	22	2	control	#F03623	0.716353242675109
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	23	2	time	#FC622F	0.678950197083439
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.169365380036348
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	2	3	noise|tones	#FECB68	0.304587989779526
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	3	3		#FECB68	0.39356282910712
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	4	3		#FDAD4A	0.446789654055209
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	5	3	frequency	#FDAD4A	0.489435709254833
1fb95e5e-52db-3be8-9d57-884d46bc9b09	Bastin C	6	3		#FDAD4A	0.486920695848632
