UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	1	1	auditory|speech	#FECB68	0.344810818769294
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	2	1		#FECB68	0.300477430584383
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	3	1	da|integration	#FECB68	0.373100266593337
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	4	1		#FECB68	0.396679327225204
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	5	1	physical|psychophysical|tactile	#FECB68	0.323844603414447
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	6	1		#FEE188	0.298763593932858
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	7	1	somatosensory|stimulation	#FEE188	0.20515017762074
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	8	1	painful|pain	#FFF1A9	0.164695353940923
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	9	1		#FEE188	0.206150409521064
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	10	1	ratings	#FECB68	0.321358991371452
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	11	1	affective|affect	#FECB68	0.377116281485204
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	12	1	emotions	#FECB68	0.352532689627613
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	13	1	expression|expressions|facial	#FEE188	0.22991597830812
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	14	1		#FECB68	0.388963349687923
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	15	1		#FDAD4A	0.424792467396605
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	16	1	emotion|motion|neutral	#FDAD4A	0.408060557339306
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	17	1	rating	#FDAD4A	0.403334076301828
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	18	1	negative|positive	#FDAD4A	0.443239427653578
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	19	1		#FD913D	0.561105935569134
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	20	1	ear|order	#FC622F	0.619258188036211
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	21	1	motor	#FDAD4A	0.466841979982957
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	22	1	visual	#FD913D	0.560328081286355
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	23	1	age|image|response	#FC622F	0.613294896308083
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	1	2	sound|sounds	#FFF1A9	0.196167001532807
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	2	2		#FEE188	0.276128985237911
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	3	2	audiovisual|bimodal|crossmodal	#FFF1A9	0.130646848753126
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	4	2		#FDAD4A	0.411441569248831
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	5	2		#FECB68	0.386311223194809
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	6	2		#FECB68	0.33194178479007
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	7	2	sensation	#FFF1A9	0.125214718904046
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	8	2	heat|noxious	#FFF1A9	0.120678816706688
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	9	2		#FEE188	0.216922313784984
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	10	2		#FECB68	0.308586857984086
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	11	2		#FECB68	0.347967769356931
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	12	2	valence	#FECB68	0.342445064575507
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	13	2	person|social	#FD913D	0.531702112467944
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	14	2		#FDAD4A	0.405315517200943
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	15	2	face|faces	#FDAD4A	0.412301455362864
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	16	2		#FDAD4A	0.476503207894175
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	17	2		#FDAD4A	0.496639457856962
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	18	2		#FD913D	0.555971658191045
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	19	2		#FD913D	0.594908645023344
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	20	2		#FC622F	0.609020339418569
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	21	2	images|spatial	#FC622F	0.602530994095787
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	22	2	control	#FC622F	0.652777810624249
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	23	2	time	#FC622F	0.608813445772745
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.161626225382599
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	2	3	noise|tones	#FFF1A9	0.188318855991931
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	3	3		#FECB68	0.345519778835913
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	4	3		#FDAD4A	0.429345624590953
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	5	3	frequency	#FDAD4A	0.462035168062729
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	6	3		#FDAD4A	0.4300872970604
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	7	3		#FEE188	0.246986233287642
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	8	3	temperature	#FFF1A9	0.186115504699332
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	9	3		#FEE188	0.237289734658376
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	10	3	pleasant|unpleasant	#FFF1A9	0.162448959219076
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	11	3	anxiety	#FEE188	0.212011761069091
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	12	3		#FDAD4A	0.428949742027429
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	13	3		#FD913D	0.507751005773861
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	14	3		#FDAD4A	0.480792914339976
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	15	3		#FD913D	0.508238857144167
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	16	3	picture	#FD913D	0.587752577135189
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	17	3		#FD913D	0.556590198736625
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	18	3	value	#FD913D	0.583034559936299
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	19	3	cue	#FC622F	0.663827175085037
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	20	3	error|target	#FC622F	0.631956898602638
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	21	3	attention	#FC622F	0.638388322477125
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	22	3		#F03623	0.702450650699423
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	23	3	number	#FC622F	0.666410973149239
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	1	4	voice	#FEE188	0.227867766795673
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	2	4		#FEE188	0.28688667576695
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	3	4	hearing	#FEE188	0.250912185578064
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	4	4		#FDAD4A	0.420358259111997
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	5	4	overt	#FDAD4A	0.476178332203086
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	6	4		#FDAD4A	0.409742366228332
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	7	4		#FECB68	0.307861281551262
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	8	4	nociceptive|nonpainful|painrelated	#FEE188	0.210298701167198
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	9	4	unpleasantness	#FEE188	0.237706872459041
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	10	4	skin|subjective	#FEE188	0.231645736650763
384c7c95-b20d-3919-b377-dd595e24f5a1	Wagner AD	11	4	depression	#FDAD4A	0.40875711348641
