UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	1	1	auditory|speech	#FECB68	0.357330314562009
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	2	1		#FECB68	0.398651760431506
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	3	1	da|integration	#FD913D	0.523017784717848
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	4	1		#FD913D	0.537527170759765
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	5	1	physical|psychophysical|tactile	#FECB68	0.394328853520549
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	6	1		#FECB68	0.369404171337056
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	7	1	somatosensory|stimulation	#FEE188	0.210979604857955
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	8	1	painful|pain	#FEE188	0.285061757098512
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	9	1		#FECB68	0.338811872120829
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	10	1	ratings	#FD913D	0.515610751377961
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	11	1	affective|affect	#FDAD4A	0.472520454351483
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	12	1	emotions	#FECB68	0.395071629959146
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	13	1	expression|expressions|facial	#FDAD4A	0.423526894156355
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	14	1		#FD913D	0.551378365547949
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	15	1		#FD913D	0.526449285459749
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	16	1	emotion|motion|neutral	#FDAD4A	0.495452134828037
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	17	1	rating	#FDAD4A	0.487517981226965
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	18	1	negative|positive	#FDAD4A	0.459587552473698
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	19	1		#FDAD4A	0.456045050932919
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	20	1	ear|order	#FDAD4A	0.437976936475865
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	21	1	motor	#FFF1A9	0.104860590323267
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	22	1	visual	#FECB68	0.325983213767138
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	23	1	age|image|response	#FECB68	0.370217868265145
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	1	2	sound|sounds	#FECB68	0.344032177287658
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	2	2		#FECB68	0.376740799840506
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.378573915686291
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	4	2		#FD913D	0.53366454708922
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	5	2		#FDAD4A	0.439438841882284
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	6	2		#FECB68	0.383147319933454
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	7	2	sensation	#FFF1A9	0.150486797197889
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	8	2	heat|noxious	#FEE188	0.279856606073018
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	9	2		#FECB68	0.360287769030596
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	10	2		#FD913D	0.510516991953758
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	11	2		#FD913D	0.542061305297187
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	12	2	valence	#FDAD4A	0.430778025935746
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	13	2	person|social	#F03623	0.792166606777283
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	14	2		#FD913D	0.550201636735764
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	15	2	face|faces	#FDAD4A	0.461732542119145
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	16	2		#FD913D	0.530542253591092
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	17	2		#FD913D	0.514950588401961
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	18	2		#FD913D	0.51768167744713
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	19	2		#FDAD4A	0.469516460854561
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	20	2		#FECB68	0.39301090042117
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	21	2	images|spatial	#FDAD4A	0.408990093552703
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	22	2	control	#FECB68	0.334291259966268
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	23	2	time	#FECB68	0.372925435035765
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	1	3	acoustic|listening|musical|music|pitch	#FEE188	0.230810567781997
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	2	3	noise|tones	#FEE188	0.264742621697383
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	3	3		#FDAD4A	0.423677227897365
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	4	3		#FECB68	0.397865311042489
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	5	3	frequency	#FECB68	0.339795949083137
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	6	3		#FECB68	0.337122476652779
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	7	3		#FEE188	0.279982658829778
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	8	3	temperature	#FFFFCC	0.0876474270695494
d98cbfb4-47c2-3777-bba7-e5f2d10190f7	Zeman AZ	9	3		#FECB68	0.353706095032659
