UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	1	auditory|speech	#FECB68	0.365570233506694
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	1		#FECB68	0.323670014678447
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	1	da|integration	#FD913D	0.515568819320051
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	1		#FDAD4A	0.490687041094357
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	1	physical|psychophysical|tactile	#FDAD4A	0.437778079102225
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	1		#FECB68	0.344171096323742
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	1	somatosensory|stimulation	#FEE188	0.254677668173027
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	1	painful|pain	#FFF1A9	0.100174728735055
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	1		#FFF1A9	0.141676454209328
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	1	ratings	#FEE188	0.215393554583653
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	1	affective|affect	#FEE188	0.285690482272263
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	1	emotions	#FEE188	0.230438118852818
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	1	expression|expressions|facial	#FFF1A9	0.165254193873001
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	1		#FEE188	0.268782366517446
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	1		#FECB68	0.301078302608002
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	1	emotion|motion|neutral	#FEE188	0.293736847546735
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	1	rating	#FEE188	0.269412366218432
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	1	negative|positive	#FECB68	0.380835909749816
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	1		#FD913D	0.557974316241254
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	1	ear|order	#FC622F	0.659805371672597
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	1	motor	#FD913D	0.550174012139133
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	1	visual	#FC622F	0.602895039211684
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	1	age|image|response	#FD913D	0.5897408442616
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	2	sound|sounds	#FFF1A9	0.199379001103036
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	2		#FEE188	0.291284153794274
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.224691237197959
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	2		#FD913D	0.501959355399237
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	2		#FDAD4A	0.479332529508785
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	2		#FECB68	0.381948125595747
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	2	sensation	#FFFFCC	0.0881267061813121
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	2	heat|noxious	#FFFFCC	0.0846320869569422
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	2		#FFF1A9	0.161477522649836
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	2		#FEE188	0.242859156532544
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	2		#FEE188	0.258220418199212
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	2	valence	#FEE188	0.222106182407517
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	2	person|social	#FEE188	0.280436039558897
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	2		#FEE188	0.289349929716896
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	2	face|faces	#FECB68	0.311789791465586
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	2		#FECB68	0.360692569506326
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	2		#FDAD4A	0.403076321129747
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	2		#FD913D	0.509755004578572
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	2		#FD913D	0.597950683343012
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	2		#FC622F	0.643397001136294
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	2	images|spatial	#FC622F	0.610647592859599
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	2	control	#FC622F	0.646512144141146
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	2	time	#FC622F	0.610333991436416
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	3	acoustic|listening|musical|music|pitch	#FFF1A9	0.149341292804359
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	3	noise|tones	#FFF1A9	0.180994274619018
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	3		#FECB68	0.392079716786691
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	3		#FD913D	0.505081404256111
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	3	frequency	#FD913D	0.533140460777683
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	3		#FDAD4A	0.469764431659483
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	3		#FFF1A9	0.190245055403563
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	3	temperature	#FFF1A9	0.151984807030839
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	3		#FFF1A9	0.187521716048435
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	3	pleasant|unpleasant	#FFF1A9	0.163893808450945
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	3	anxiety	#FFF1A9	0.177099027225949
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	3		#FECB68	0.322236395998367
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	3		#FECB68	0.398990962934511
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	3		#FECB68	0.37280590688723
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	3		#FECB68	0.392719435932957
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	3	picture	#FDAD4A	0.430992963783464
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	3		#FDAD4A	0.481193200908927
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	3	value	#FC622F	0.601312724207727
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	3	cue	#FC622F	0.641744087301627
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	3	error|target	#FC622F	0.687687392444934
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	3	attention	#FC622F	0.674629078841918
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	3		#F03623	0.713985196325923
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	3	number	#FC622F	0.699385174201465
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	4	voice	#FFF1A9	0.145827691539169
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	4		#FEE188	0.268955403252641
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	4	hearing	#FECB68	0.347105952178749
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	4		#FDAD4A	0.457720319763557
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	4	overt	#FD913D	0.579500119243886
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	4		#FDAD4A	0.432645000064907
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	4		#FEE188	0.236060906932113
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	4	nociceptive|nonpainful|painrelated	#FFFFCC	0.0830449252157775
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	4	unpleasantness	#FFF1A9	0.184503002366692
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	4	skin|subjective	#FECB68	0.31013462233577
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	4	depression	#FECB68	0.341189499636287
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	4	experience	#FECB68	0.323445478232124
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	4	female	#FDAD4A	0.451678334081951
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	4	male	#FDAD4A	0.486595554881761
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	4	pictures	#FECB68	0.393887810849337
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	4		#FD913D	0.511592510605471
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	4	perception	#FDAD4A	0.478518156040943
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	4		#F03623	0.703779835837066
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	4		#F03623	0.727031246715778
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	4		#F03623	0.732565866216715
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	4	correct	#F03623	0.778314239617219
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	4	work	#F03623	0.792074311583635
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	4	memory	#F03623	0.742826850336645
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	5	prosodic|prosody	#FEE188	0.233323951776692
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	5	phonetic	#FEE188	0.22139977719075
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	5	syllable|syllables	#FDAD4A	0.41559992892315
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	5		#FDAD4A	0.416147677955029
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	5	lip|production	#FEE188	0.288088215335352
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	5	somatotopic	#FFF1A9	0.167664756912511
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	5		#FEE188	0.294229125878506
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	5		#FEE188	0.246058130572035
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	5	empathy	#FEE188	0.273293558314004
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	5		#FDAD4A	0.416539761471267
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	5	disorder	#FECB68	0.373611833298795
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	5		#FD913D	0.511556719692435
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	5		#FD913D	0.580926754379977
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	5		#FC622F	0.605470934784649
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	5		#FC622F	0.604036577265084
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	5		#FC622F	0.632708081900129
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	5		#F03623	0.71717698877429
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	5	mental	#F03623	0.790635721830323
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	5	go	#F03623	0.727721573647514
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	5	object	#FC622F	0.668390309408407
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	5		#F03623	0.791519878058002
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	5		#F03623	0.787876280096068
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	5	word|words	#FC622F	0.69040970974762
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	6		#FECB68	0.320217308680503
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	6		#FECB68	0.361845804842311
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	6		#FDAD4A	0.408370297733502
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	6	vocal	#FFF1A9	0.130887384543012
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	6	articulatory	#FEE188	0.265491297602368
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	6		#FDAD4A	0.415406889495827
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	6	oddball	#FECB68	0.317880330384497
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	6	perceived	#FEE188	0.205324323384495
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	6	errorrelated	#FEE188	0.277088926845081
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	6	approach	#FDAD4A	0.406039899928458
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	6	schizophrenia	#FDAD4A	0.47246797722076
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	6	acquisition	#FC622F	0.60602151941758
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	6		#FC622F	0.651215753701739
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	6		#FC622F	0.639531854345093
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	6		#FC622F	0.643049302310991
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	6		#FC622F	0.673324197837989
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	6		#F03623	0.772850414943963
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	6		#F03623	0.79264080170299
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	6		#F03623	0.789518695674401
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	6	objects	#F03623	0.742052765290806
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	6		#F03623	0.797683044379531
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	6		#F03623	0.787677739704313
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	6	language|semantic	#F03623	0.727294253685407
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	7	dopamine|dopaminergic	#FFF1A9	0.163763228148352
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	7		#FEE188	0.20040592100652
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	7		#FDAD4A	0.409583271785201
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	7		#FDAD4A	0.499811877413957
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	7		#FD913D	0.570638987338272
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	7		#FC622F	0.662520387828785
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	7		#FC622F	0.630926658031107
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	7		#FD913D	0.593026173539663
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	7		#FD913D	0.52178428034079
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	7		#FC622F	0.685128874074637
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	7		#F03623	0.727453818285206
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	7		#F03623	0.739033872888597
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	7	linguistic|spoken	#FD913D	0.596775284215213
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	7		#FC622F	0.64628960247137
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	7	comprehension|sentence|sentences|syntactic	#FD913D	0.583698223535424
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	7		#FC622F	0.679041584380244
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	7		#F03623	0.763684188968596
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	7	phonological|reading|read	#F03623	0.746720067742196
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	7		#F03623	0.786309070242182
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	7	perceptual|recognition	#FC622F	0.692040769863194
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	7		#D7141E	0.823845439982154
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	7		#D7141E	0.815097153668076
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	7	verb	#D7141E	0.833200107960622
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	8	outcome|reward	#FFF1A9	0.155057131169894
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	8	anticipation	#FFF1A9	0.138115119213852
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	8	outcomes	#FEE188	0.216063750731193
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	8	choice|choices	#FDAD4A	0.410292446847609
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	8	decisions|probability	#FD913D	0.590216104527499
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	8	reversal	#FD913D	0.536916440002324
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	8	classification|incorrect	#FC622F	0.674800168760373
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	8		#F03623	0.74836471168433
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	8	agerelated|fluency|probes	#FC622F	0.640748883212075
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	8	engaged	#F03623	0.735102198487907
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	8	explicit|knowledge	#F03623	0.734752181578513
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	8		#F03623	0.788649431919035
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	8		#F03623	0.713892922361524
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	8		#FC622F	0.682445623323392
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	8		#FC622F	0.678425475398651
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	8		#FC622F	0.699331301738108
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	8	lexical	#FC622F	0.680079987939286
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	8		#F03623	0.770112190350099
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	8		#F03623	0.784486308052152
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	8		#F03623	0.797133845572756
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	8	encoding	#F03623	0.745017911277393
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	8	retrieval	#F03623	0.770652960016584
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	8	verbal	#D7141E	0.864101609648182
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	9	incentive|monetary|money|rewards	#FFFFCC	0.0712545921517584
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	9	loss	#FFF1A9	0.137985751759102
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	9		#FECB68	0.330794472151257
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	9		#FDAD4A	0.442829483302545
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	9	decisionmaking	#FDAD4A	0.435944170632705
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	9		#F03623	0.72726890879723
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	9		#F03623	0.751392702679337
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	9		#F03623	0.768886762495544
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	9		#F03623	0.771309400533751
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	9		#F03623	0.798372286207806
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	9		#D7141E	0.806992248979982
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	9		#D7141E	0.812387798508696
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	9	noun	#F03623	0.723757183677903
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	9	meaning	#FC622F	0.628176296940066
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	9	english	#F03623	0.759035464685366
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	9	pseudoword|pseudowords	#FD913D	0.543718380131969
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	9		#F03623	0.750373474126797
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	9		#F03623	0.768111904782185
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	9	familiar|judgment	#F03623	0.737665697040901
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	9	pair|pairs	#F03623	0.777596295881917
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	9		#D7141E	0.847400336694058
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	9		#D7141E	0.884364236230424
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	9	letter|working	#D7141E	0.889870012974501
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	10	losses|reinforcement|win	#FFF1A9	0.108553808106915
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	10	gain	#FFFFCC	0.0855796630436356
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	3	10	expectation	#FEE188	0.29858279677944
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	4	10	risk	#FECB68	0.378785595287777
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	5	10	fact	#FDAD4A	0.46637876687381
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	6	10	associative	#FD913D	0.591558760772599
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	7	10	familiarity|judgments|old	#FC622F	0.683745446703807
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	8	10	contextual|text	#FD913D	0.58772329427372
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	9	10	recall|retrieved	#F03623	0.711813959521237
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	10	10	conceptual|semantically	#FD913D	0.597823454787195
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	11	10	grammatical|speakers	#F03623	0.734063424166324
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	12	10	nouns	#F03623	0.762114784910185
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	13	10	japanese	#D7141E	0.803328334067965
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	14	10	languages	#FC622F	0.692219704862269
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	15	10	written	#FD913D	0.587682056445979
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	16	10	chinese|phonology	#F03623	0.741589200327629
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	17	10	orthographic	#F03623	0.733239008714164
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	18	10		#F03623	0.777566623755
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	19	10		#F03623	0.783890692374191
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	20	10	association|decision	#F03623	0.744102356659001
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	21	10	selection	#D7141E	0.826186030556895
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	22	10	letters	#D7141E	0.835040139767735
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	23	10	demand|load	#D7141E	0.867791369177262
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	1	11	conditioned|conditioning	#FFFFCC	0
cde84f58-0589-3926-b8ad-36b1ec586bb4	Watanabe Y	2	11		#FFF1A9	0.155026327186449
