UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	1	1	auditory|speech	#FECB68	0.383294835475043
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	2	1		#FECB68	0.349515499455321
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	3	1	da|integration	#FC622F	0.609807109999727
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	4	1		#FD913D	0.531203838448576
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	5	1	physical|psychophysical|tactile	#FDAD4A	0.404259873510263
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	6	1		#FDAD4A	0.423518672826187
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	7	1	somatosensory|stimulation	#FECB68	0.35215879077217
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	8	1	painful|pain	#FEE188	0.232664599539456
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	9	1		#FECB68	0.305454970243925
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	10	1	ratings	#FDAD4A	0.426183051688457
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	11	1	affective|affect	#FD913D	0.518519056466077
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	12	1	emotions	#FDAD4A	0.406893467276407
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	13	1	expression|expressions|facial	#FECB68	0.351446516116876
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	14	1		#FDAD4A	0.476142888571823
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	15	1		#FD913D	0.502406677446995
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	16	1	emotion|motion|neutral	#FDAD4A	0.482538847913548
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	17	1	rating	#FDAD4A	0.497102163552671
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	18	1	negative|positive	#FD913D	0.543844529227099
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	19	1		#F03623	0.70250816144123
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	20	1	ear|order	#F03623	0.757434111717632
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	21	1	motor	#FC622F	0.620636874497795
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	22	1	visual	#FC622F	0.698837979215151
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	23	1	age|image|response	#FC622F	0.691244404733162
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	1	2	sound|sounds	#FEE188	0.211067223000484
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	2	2		#FECB68	0.312871313497073
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	3	2	audiovisual|bimodal|crossmodal	#FEE188	0.27630290980502
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	4	2		#FD913D	0.54962119897811
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	5	2		#FD913D	0.534298624080999
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	6	2		#FDAD4A	0.46285734241084
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	7	2	sensation	#FEE188	0.212032313971855
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	8	2	heat|noxious	#FEE188	0.201912407895297
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	9	2		#FECB68	0.324002775940536
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	10	2		#FDAD4A	0.453947002490294
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	11	2		#FDAD4A	0.4707573071287
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	12	2	valence	#FECB68	0.396770985963328
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	13	2	person|social	#FDAD4A	0.422316063206479
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	14	2		#FDAD4A	0.499318949148895
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	15	2	face|faces	#FDAD4A	0.476774962142414
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	16	2		#FD913D	0.56877881919349
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	17	2		#FC622F	0.602403023115245
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	18	2		#FC622F	0.686600264747726
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	19	2		#F03623	0.738344899154954
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	20	2		#F03623	0.75265832149696
ac0899e7-7401-34cb-9ba4-f498450f5c72	Yang Y	21	2	images|spatial	#F03623	0.709451672896915
