UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	1	1	auditory|speech	#FEE188	0.22690825903357
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	2	1		#FFF1A9	0.188540923587259
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	3	1	da|integration	#FECB68	0.330103619773974
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	4	1		#FEE188	0.264076725124829
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	5	1	physical|psychophysical|tactile	#FFF1A9	0.194673409525515
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	6	1		#FECB68	0.310826842413441
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	7	1	somatosensory|stimulation	#FEE188	0.274987923522714
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	8	1	painful|pain	#FECB68	0.367792887496837
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	9	1		#FDAD4A	0.405237232736765
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	10	1	ratings	#FD913D	0.527647527884697
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	11	1	affective|affect	#FC622F	0.639533869389497
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	12	1	emotions	#FDAD4A	0.456221162900068
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	13	1	expression|expressions|facial	#FEE188	0.240008492444654
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	14	1		#FDAD4A	0.462925362186798
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	15	1		#FDAD4A	0.490989496895413
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	16	1	emotion|motion|neutral	#FD913D	0.512282558890391
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	17	1	rating	#FC622F	0.633475798340648
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	18	1	negative|positive	#FC622F	0.653389289140841
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	19	1		#FD913D	0.596806701587467
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	20	1	ear|order	#FD913D	0.528768065118016
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	21	1	motor	#FECB68	0.363185782803836
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	22	1	visual	#FECB68	0.339633189865361
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	23	1	age|image|response	#FDAD4A	0.475330056364102
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	1	2	sound|sounds	#FFF1A9	0.102272106687207
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	2	2		#FFF1A9	0.164301890157695
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	3	2	audiovisual|bimodal|crossmodal	#FFFFCC	0
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	4	2		#FEE188	0.273135932188185
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	5	2		#FEE188	0.281493698331275
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	6	2		#FECB68	0.323100815365197
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	7	2	sensation	#FEE188	0.297755008633547
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	8	2	heat|noxious	#FEE188	0.232597600168953
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	9	2		#FDAD4A	0.409485760103894
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	10	2		#FD913D	0.507896395491423
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	11	2		#FD913D	0.543535799392187
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	12	2	valence	#FD913D	0.572246189729342
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	13	2	person|social	#D7141E	0.850338268890124
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	14	2		#FDAD4A	0.466340894108645
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	15	2	face|faces	#FECB68	0.328589361236236
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	16	2		#FD913D	0.541986994955271
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	17	2		#FC622F	0.606588370900062
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	18	2		#FC622F	0.621913118751406
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	19	2		#FD913D	0.586991471771043
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	20	2		#FD913D	0.501043773343303
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	21	2	images|spatial	#FDAD4A	0.425279885511315
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	22	2	control	#FD913D	0.518377543332578
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	23	2	time	#FD913D	0.504399972947801
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	1	3	acoustic|listening|musical|music|pitch	#FFFFCC	0.0418583975831351
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	2	3	noise|tones	#FFF1A9	0.109084328437403
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	3	3		#FEE188	0.226602353078237
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	4	3		#FECB68	0.32233956492448
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	5	3	frequency	#FECB68	0.345146628973607
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	6	3		#FDAD4A	0.449718869535627
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	7	3		#FDAD4A	0.408641485778753
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	8	3	temperature	#FECB68	0.366080162220854
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	9	3		#FDAD4A	0.412249104445022
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	10	3	pleasant|unpleasant	#FEE188	0.216054840958268
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	11	3	anxiety	#FDAD4A	0.409680874643269
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	12	3		#FD913D	0.598282976441857
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	13	3		#FC622F	0.605904005051556
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	14	3		#FD913D	0.519029551917147
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	15	3		#FD913D	0.509352844869383
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	16	3	picture	#FD913D	0.512792875173467
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	17	3		#FD913D	0.564058087735206
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	18	3	value	#FD913D	0.559005218007038
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	19	3	cue	#FD913D	0.504658536260642
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	20	3	error|target	#FD913D	0.534392879176013
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	21	3	attention	#FDAD4A	0.483250014958213
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	22	3		#FD913D	0.519785975166507
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	23	3	number	#FD913D	0.51992366375881
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	1	4	voice	#FFF1A9	0.123057196771436
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	2	4		#FFF1A9	0.167422865438837
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	3	4	hearing	#FEE188	0.216128234392637
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	4	4		#FECB68	0.343169954087792
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	5	4	overt	#FDAD4A	0.428050175735329
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	6	4		#FDAD4A	0.415428395378006
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	7	4		#FDAD4A	0.488813460787534
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	8	4	nociceptive|nonpainful|painrelated	#FDAD4A	0.417666668604553
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	9	4	unpleasantness	#FEE188	0.298965571645071
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	10	4	skin|subjective	#FD913D	0.506675105302698
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	11	4	depression	#FD913D	0.503007948439877
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	12	4	experience	#F03623	0.70784630055778
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	13	4	female	#FD913D	0.502208891140029
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	14	4	male	#FD913D	0.528266012299613
0be087f0-5853-3b5a-b5e6-7957568610b4	Lauriello J	15	4	pictures	#FDAD4A	0.443643034617189
