UUID	AUTHOR	X	Y	TERMS	COLOR	SCORE
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	1	1	auditory|speech	#FC622F	0.639527631575093
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	2	1		#FD913D	0.592870502184687
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	3	1	da|integration	#FC622F	0.616061613429437
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	4	1		#FC622F	0.631224614592555
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	5	1	physical|psychophysical|tactile	#FDAD4A	0.482919038641038
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	6	1		#FD913D	0.563974924444574
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	7	1	somatosensory|stimulation	#FDAD4A	0.469921576385122
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	8	1	painful|pain	#FDAD4A	0.438641612621715
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	9	1		#FD913D	0.504533105236115
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	10	1	ratings	#FD913D	0.510628856469698
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	11	1	affective|affect	#FDAD4A	0.439975656668417
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	12	1	emotions	#FECB68	0.383554533255977
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	13	1	expression|expressions|facial	#FFF1A9	0.162660092565153
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	14	1		#FECB68	0.32319562342036
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	15	1		#FECB68	0.367650850691404
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	16	1	emotion|motion|neutral	#FECB68	0.359585972913447
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	17	1	rating	#FD913D	0.516621689344027
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	18	1	negative|positive	#FC622F	0.611155085032652
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	19	1		#FC622F	0.687406199897825
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	20	1	ear|order	#F03623	0.727535726306617
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	21	1	motor	#FD913D	0.568027222181561
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	22	1	visual	#FD913D	0.551145361779957
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	23	1	age|image|response	#FC622F	0.645645298385551
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	1	2	sound|sounds	#FD913D	0.520262496053692
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	2	2		#FD913D	0.584528422874442
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	3	2	audiovisual|bimodal|crossmodal	#FECB68	0.391442123185793
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	4	2		#FC622F	0.649721858221066
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	5	2		#FC622F	0.658771441653778
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	6	2		#FC622F	0.60843787942666
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	7	2	sensation	#FDAD4A	0.40794560063652
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	8	2	heat|noxious	#FDAD4A	0.453064645284762
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	9	2		#FD913D	0.52275885451171
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	10	2		#FD913D	0.528613764259867
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	11	2		#FD913D	0.500436957746926
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	12	2	valence	#FEE188	0.25601363103686
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	13	2	person|social	#FECB68	0.372258283334432
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	14	2		#FECB68	0.343359064178496
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	15	2	face|faces	#FECB68	0.306355344046774
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	16	2		#FDAD4A	0.464800072634595
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	17	2		#FD913D	0.558340861818619
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	18	2		#FC622F	0.667342776562963
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	19	2		#F03623	0.717146476903246
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	20	2		#FC622F	0.690693580686189
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	21	2	images|spatial	#FC622F	0.635779863457193
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	22	2	control	#FC622F	0.662008266790724
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	23	2	time	#FC622F	0.646806287944862
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	1	3	acoustic|listening|musical|music|pitch	#FD913D	0.519178212039221
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	2	3	noise|tones	#FD913D	0.53983456949199
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	3	3		#FC622F	0.685107625270287
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	4	3		#F03623	0.761808162316936
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	5	3	frequency	#F03623	0.744721979161833
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	6	3		#F03623	0.787381792568513
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	7	3		#FD913D	0.53746378033591
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	8	3	temperature	#FDAD4A	0.422560732378734
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	9	3		#FD913D	0.556966494411311
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	10	3	pleasant|unpleasant	#FD913D	0.543248300635403
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	11	3	anxiety	#FECB68	0.365935798041329
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	12	3		#FD913D	0.504178321886738
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	13	3		#FD913D	0.531979539079308
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	14	3		#FDAD4A	0.45659064530141
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	15	3		#FDAD4A	0.473572614424102
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	16	3	picture	#FD913D	0.512980902581495
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	17	3		#FC622F	0.616663771542659
45e6ae55-d44f-306a-afa6-b543b90c77af	Hernandez A	18	3	value	#F03623	0.780962284162092
